REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,Canada,2016A11124,Professional degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512320555,1.28.1.1.2.3.4.1,80,,,,0
2019,Canada,2016A11124,Professional degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512320555,1.28.1.1.2.3.4.1,40,,,,0
2020,Canada,2016A11124,Professional degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512320555,1.28.1.1.2.3.4.1,40,,,,0
2018,Canada,2016A11124,Professional degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512320556,1.28.1.1.2.3.4.2,79000,,,,0
2019,Canada,2016A11124,Professional degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512320556,1.28.1.1.2.3.4.2,88900,,,,0
2020,Canada,2016A11124,Professional degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512320556,1.28.1.1.2.3.4.2,78700,,,,0
2018,Canada,2016A11124,Professional degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512322697,1.28.13.1.2.3.4.1,60,,,,0
2019,Canada,2016A11124,Professional degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512322697,1.28.13.1.2.3.4.1,50,,,,0
2020,Canada,2016A11124,Professional degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512322697,1.28.13.1.2.3.4.1,60,,,,0
2018,Canada,2016A11124,Professional degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512322698,1.28.13.1.2.3.4.2,79000,,,,0
2019,Canada,2016A11124,Professional degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512322698,1.28.13.1.2.3.4.2,88900,,,,0
2020,Canada,2016A11124,Professional degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512322698,1.28.13.1.2.3.4.2,78700,,,,0
2018,Canada,2016A11124,Professional degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512324272,1.28.22.1.2.3.4.1,50,,,,0
2019,Canada,2016A11124,Professional degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512324272,1.28.22.1.2.3.4.1,10,,,,0
2020,Canada,2016A11124,Professional degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512324272,1.28.22.1.2.3.4.1,20,,,,0
2018,Canada,2016A11124,Professional degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512324273,1.28.22.1.2.3.4.2,76700,,,,0
2019,Canada,2016A11124,Professional degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512324273,1.28.22.1.2.3.4.2,78100,,,,0
2020,Canada,2016A11124,Professional degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512324273,1.28.22.1.2.3.4.2,53700,,,,0
2018,Canada,2016A11124,Professional degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512324587,1.28.25.1.2.3.4.1,30,,,,0
2019,Canada,2016A11124,Professional degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512324587,1.28.25.1.2.3.4.1,30,,,,0
2020,Canada,2016A11124,Professional degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512324587,1.28.25.1.2.3.4.1,20,,,,0
2018,Canada,2016A11124,Professional degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512324588,1.28.25.1.2.3.4.2,,x,,,0
2019,Canada,2016A11124,Professional degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512324588,1.28.25.1.2.3.4.2,,x,,,0
2020,Canada,2016A11124,Professional degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512324588,1.28.25.1.2.3.4.2,87600,,,,0
2018,Canada,2016A11124,Master's degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512240738,1.19.1.1.2.3.4.1,9670,,,,0
2019,Canada,2016A11124,Master's degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512240738,1.19.1.1.2.3.4.1,10960,,,,0
2020,Canada,2016A11124,Master's degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512240738,1.19.1.1.2.3.4.1,12020,,,,0
2018,Canada,2016A11124,Master's degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512240739,1.19.1.1.2.3.4.2,59300,,,,0
2019,Canada,2016A11124,Master's degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512240739,1.19.1.1.2.3.4.2,61700,,,,0
2020,Canada,2016A11124,Master's degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512240739,1.19.1.1.2.3.4.2,65500,,,,0
2018,Canada,2016A11124,Master's degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512240801,1.19.2.1.2.3.4.1,5620,,,,0
2019,Canada,2016A11124,Master's degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512240801,1.19.2.1.2.3.4.1,6570,,,,0
2020,Canada,2016A11124,Master's degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512240801,1.19.2.1.2.3.4.1,7270,,,,0
2018,Canada,2016A11124,Master's degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512240802,1.19.2.1.2.3.4.2,62700,,,,0
2019,Canada,2016A11124,Master's degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512240802,1.19.2.1.2.3.4.2,65000,,,,0
2020,Canada,2016A11124,Master's degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512240802,1.19.2.1.2.3.4.2,70200,,,,0
2018,Canada,2016A11124,Master's degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512240864,1.19.3.1.2.3.4.1,520,,,,0
2019,Canada,2016A11124,Master's degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512240864,1.19.3.1.2.3.4.1,590,,,,0
2020,Canada,2016A11124,Master's degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512240864,1.19.3.1.2.3.4.1,570,,,,0
2018,Canada,2016A11124,Master's degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512240865,1.19.3.1.2.3.4.2,51100,,,,0
2019,Canada,2016A11124,Master's degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512240865,1.19.3.1.2.3.4.2,52500,,,,0
2020,Canada,2016A11124,Master's degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512240865,1.19.3.1.2.3.4.2,53500,,,,0
2018,Canada,2016A11124,Master's degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241116,1.19.7.1.2.3.4.1,3850,,,,0
2019,Canada,2016A11124,Master's degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241116,1.19.7.1.2.3.4.1,4510,,,,0
2020,Canada,2016A11124,Master's degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241116,1.19.7.1.2.3.4.1,4790,,,,0
2018,Canada,2016A11124,Master's degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241117,1.19.7.1.2.3.4.2,60600,,,,0
2019,Canada,2016A11124,Master's degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241117,1.19.7.1.2.3.4.2,61400,,,,0
2020,Canada,2016A11124,Master's degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241117,1.19.7.1.2.3.4.2,66800,,,,0
2018,Canada,2016A11124,Master's degree,Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241307,1.19.10.1.2.3.4.1,1240,,,,0
2019,Canada,2016A11124,Master's degree,Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241307,1.19.10.1.2.3.4.1,1470,,,,0
2020,Canada,2016A11124,Master's degree,Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241307,1.19.10.1.2.3.4.1,1920,,,,0
2018,Canada,2016A11124,Master's degree,Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241308,1.19.10.1.2.3.4.2,79400,,,,0
2019,Canada,2016A11124,Master's degree,Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241308,1.19.10.1.2.3.4.2,86000,,,,0
2020,Canada,2016A11124,Master's degree,Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241308,1.19.10.1.2.3.4.2,86000,,,,0
2018,Canada,2016A11124,Master's degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241496,1.19.13.1.2.3.4.1,4040,,,,0
2019,Canada,2016A11124,Master's degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241496,1.19.13.1.2.3.4.1,4410,,,,0
2020,Canada,2016A11124,Master's degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241496,1.19.13.1.2.3.4.1,4720,,,,0
2018,Canada,2016A11124,Master's degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241497,1.19.13.1.2.3.4.2,54300,,,,0
2019,Canada,2016A11124,Master's degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241497,1.19.13.1.2.3.4.2,56500,,,,0
2020,Canada,2016A11124,Master's degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241497,1.19.13.1.2.3.4.2,58000,,,,0
2018,Canada,2016A11124,Master's degree,Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241559,1.19.14.1.2.3.4.1,2210,,,,0
2019,Canada,2016A11124,Master's degree,Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241559,1.19.14.1.2.3.4.1,2420,,,,0
2020,Canada,2016A11124,Master's degree,Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241559,1.19.14.1.2.3.4.1,2700,,,,0
2018,Canada,2016A11124,Master's degree,Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241560,1.19.14.1.2.3.4.2,63000,,,,0
2019,Canada,2016A11124,Master's degree,Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241560,1.19.14.1.2.3.4.2,64600,,,,0
2020,Canada,2016A11124,Master's degree,Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241560,1.19.14.1.2.3.4.2,65100,,,,0
2018,Canada,2016A11124,Master's degree,Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241748,1.19.17.1.2.3.4.1,210,,,,0
2019,Canada,2016A11124,Master's degree,Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241748,1.19.17.1.2.3.4.1,270,,,,0
2020,Canada,2016A11124,Master's degree,Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241748,1.19.17.1.2.3.4.1,260,,,,0
2018,Canada,2016A11124,Master's degree,Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241749,1.19.17.1.2.3.4.2,28400,,,,0
2019,Canada,2016A11124,Master's degree,Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241749,1.19.17.1.2.3.4.2,36300,,,,0
2020,Canada,2016A11124,Master's degree,Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241749,1.19.17.1.2.3.4.2,41100,,,,0
2018,Canada,2016A11124,Master's degree,Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241937,1.19.20.1.2.3.4.1,660,,,,0
2019,Canada,2016A11124,Master's degree,Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241937,1.19.20.1.2.3.4.1,630,,,,0
2020,Canada,2016A11124,Master's degree,Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512241937,1.19.20.1.2.3.4.1,670,,,,0
2018,Canada,2016A11124,Master's degree,Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241938,1.19.20.1.2.3.4.2,48500,,,,0
2019,Canada,2016A11124,Master's degree,Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241938,1.19.20.1.2.3.4.2,51000,,,,0
2020,Canada,2016A11124,Master's degree,Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512241938,1.19.20.1.2.3.4.2,55000,,,,0
2018,Canada,2016A11124,Master's degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512242063,1.19.22.1.2.3.4.1,120,,,,0
2019,Canada,2016A11124,Master's degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512242063,1.19.22.1.2.3.4.1,120,,,,0
2020,Canada,2016A11124,Master's degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512242063,1.19.22.1.2.3.4.1,120,,,,0
2018,Canada,2016A11124,Master's degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512242064,1.19.22.1.2.3.4.2,38100,,,,0
2019,Canada,2016A11124,Master's degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512242064,1.19.22.1.2.3.4.2,48000,,,,0
2020,Canada,2016A11124,Master's degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512242064,1.19.22.1.2.3.4.2,45900,,,,0
2018,Canada,2016A11124,Master's degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512242252,1.19.25.1.2.3.4.1,120,,,,0
2019,Canada,2016A11124,Master's degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512242252,1.19.25.1.2.3.4.1,160,,,,0
2020,Canada,2016A11124,Master's degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512242252,1.19.25.1.2.3.4.1,120,,,,0
2018,Canada,2016A11124,Master's degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512242253,1.19.25.1.2.3.4.2,57200,,,,0
2019,Canada,2016A11124,Master's degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512242253,1.19.25.1.2.3.4.2,58800,,,,0
2020,Canada,2016A11124,Master's degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512242253,1.19.25.1.2.3.4.2,59600,,,,0
2018,Canada,2016A11124,Master's degree,Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512242567,1.19.30.1.2.3.4.1,350,,,,0
2019,Canada,2016A11124,Master's degree,Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512242567,1.19.30.1.2.3.4.1,380,,,,0
2020,Canada,2016A11124,Master's degree,Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512242567,1.19.30.1.2.3.4.1,450,,,,0
2018,Canada,2016A11124,Master's degree,Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512242568,1.19.30.1.2.3.4.2,34800,,,,0
2019,Canada,2016A11124,Master's degree,Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512242568,1.19.30.1.2.3.4.2,38600,,,,0
2020,Canada,2016A11124,Master's degree,Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512242568,1.19.30.1.2.3.4.2,39000,,,,0
2018,Canada,2016A11124,Master's degree,"Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512242693,1.19.32.1.2.3.4.1,370,,,,0
2019,Canada,2016A11124,Master's degree,"Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512242693,1.19.32.1.2.3.4.1,420,,,,0
2020,Canada,2016A11124,Master's degree,"Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512242693,1.19.32.1.2.3.4.1,440,,,,0
2018,Canada,2016A11124,Master's degree,"Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512242694,1.19.32.1.2.3.4.2,54900,,,,0
2019,Canada,2016A11124,Master's degree,"Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512242694,1.19.32.1.2.3.4.2,52900,,,,0
2020,Canada,2016A11124,Master's degree,"Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512242694,1.19.32.1.2.3.4.2,55900,,,,0
2018,Canada,2016A11124,Doctoral degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512267279,1.23.1.1.2.3.4.1,1150,,,,0
2019,Canada,2016A11124,Doctoral degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512267279,1.23.1.1.2.3.4.1,1190,,,,0
2020,Canada,2016A11124,Doctoral degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512267279,1.23.1.1.2.3.4.1,1170,,,,0
2018,Canada,2016A11124,Doctoral degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512267280,1.23.1.1.2.3.4.2,68300,,,,0
2019,Canada,2016A11124,Doctoral degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512267280,1.23.1.1.2.3.4.2,71300,,,,0
2020,Canada,2016A11124,Doctoral degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512267280,1.23.1.1.2.3.4.2,74000,,,,0
2018,Canada,2016A11124,Doctoral degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512267342,1.23.2.1.2.3.4.1,950,,,,0
2019,Canada,2016A11124,Doctoral degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512267342,1.23.2.1.2.3.4.1,990,,,,0
2020,Canada,2016A11124,Doctoral degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512267342,1.23.2.1.2.3.4.1,990,,,,0
2018,Canada,2016A11124,Doctoral degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512267343,1.23.2.1.2.3.4.2,69500,,,,0
2019,Canada,2016A11124,Doctoral degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512267343,1.23.2.1.2.3.4.2,72700,,,,0
2020,Canada,2016A11124,Doctoral degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512267343,1.23.2.1.2.3.4.2,75200,,,,0
2018,Canada,2016A11124,Doctoral degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512267405,1.23.3.1.2.3.4.1,330,,,,0
2019,Canada,2016A11124,Doctoral degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512267405,1.23.3.1.2.3.4.1,390,,,,0
2020,Canada,2016A11124,Doctoral degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512267405,1.23.3.1.2.3.4.1,370,,,,0
2018,Canada,2016A11124,Doctoral degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512267406,1.23.3.1.2.3.4.2,55700,,,,0
2019,Canada,2016A11124,Doctoral degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512267406,1.23.3.1.2.3.4.2,58900,,,,0
2020,Canada,2016A11124,Doctoral degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512267406,1.23.3.1.2.3.4.2,61100,,,,0
2018,Canada,2016A11124,Doctoral degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512267657,1.23.7.1.2.3.4.1,520,,,,0
2019,Canada,2016A11124,Doctoral degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512267657,1.23.7.1.2.3.4.1,490,,,,0
2020,Canada,2016A11124,Doctoral degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512267657,1.23.7.1.2.3.4.1,480,,,,0
2018,Canada,2016A11124,Doctoral degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512267658,1.23.7.1.2.3.4.2,80000,,,,0
2019,Canada,2016A11124,Doctoral degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512267658,1.23.7.1.2.3.4.2,81300,,,,0
2020,Canada,2016A11124,Doctoral degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512267658,1.23.7.1.2.3.4.2,84600,,,,0
2018,Canada,2016A11124,Doctoral degree,Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512267861,1.23.10.1.2.3.4.1,100,,,,0
