REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,Canada,2016A11124,"Career, technical or professional training certificate",Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512137847,1.2.17.1.2.3.4.2,26100,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512137847,1.2.17.1.2.3.4.2,31500,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512137847,1.2.17.1.2.3.4.2,34500,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512138035,1.2.20.1.2.3.4.1,190,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512138035,1.2.20.1.2.3.4.1,280,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512138035,1.2.20.1.2.3.4.1,270,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512138036,1.2.20.1.2.3.4.2,36900,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512138036,1.2.20.1.2.3.4.2,44300,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512138036,1.2.20.1.2.3.4.2,44300,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512138161,1.2.22.1.2.3.4.1,0,,,,0
